"Canada Mortgage and Housing Corporation, housing starts, under construction and completions, all areas, quarterly 1 2 3"
"Frequency: Quarterly"
"Table: 34-10-0135-01 (formerly CANSIM 027-0008)"
"Release date: 2023-10-18"
"Geography: Canada, Geographical region of Canada, Province or territory"
""
""

,"Geography","Ontario",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Seasonal adjustment","Unadjusted",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Housing estimates","Type of unit","Q3 2013","Q4 2013","Q1 2014","Q2 2014","Q3 2014","Q4 2014","Q1 2015","Q2 2015","Q3 2015","Q4 2015","Q1 2016","Q2 2016","Q3 2016","Q4 2016","Q1 2017","Q2 2017","Q3 2017","Q4 2017","Q1 2018","Q2 2018","Q3 2018","Q4 2018","Q1 2019","Q2 2019","Q3 2019","Q4 2019","Q1 2020","Q2 2020","Q3 2020","Q4 2020","Q1 2021","Q2 2021","Q3 2021","Q4 2021","Q1 2022","Q2 2022","Q3 2022","Q4 2022","Q1 2023","Q2 2023","Q3 2023"
,,"Units",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Housing starts","Total units","17,532","16,594","10,828","17,039","15,989","15,278","11,382","18,479","21,259","19,036","14,789","20,200","20,151","19,812","17,555","18,423","23,248","19,897","18,143","20,052","18,822","21,725","13,044","17,455","21,265","17,221","14,594","19,842","25,160","21,709","21,628","25,594","27,765","24,579","17,686","22,460","29,746","26,188","18,490","25,512","24,813"
,"Single-detached","6,705","6,273","3,106","6,801","7,334","6,450","2,567","7,052","7,738","7,596","4,389","8,132","8,704","8,854","5,516","7,957","8,792","7,448","4,530","6,779","6,521","5,956","2,786","5,108","6,129","5,264","3,614","5,112","6,670","7,286","6,092","8,945","9,350","6,966","4,834","6,543","7,739","6,378","4,021","4,669","4,634"
,"Multiples","10,827","10,321","7,722","10,238","8,655","8,828","8,815","11,427","13,521","11,440","10,400","12,068","11,447","10,958","12,039","10,466","14,456","12,449","13,613","13,273","12,301","15,769","10,258","12,347","15,136","11,957","10,980","14,730","18,490","14,423","15,536","16,649","18,415","17,613","12,852","15,917","22,007","19,810","14,469","20,843","20,179"
,"Semi-detached","844","754","359","898","854","631","310","522","636","622","318","765","743","549","529","733","959","767","568","598","741","577","266","454","557","538","336","614","706","1,068","579","929","730","655","558","618","643","453","377","425","494"
,"Row","2,850","2,429","1,604","3,103","2,602","2,666","1,044","3,534","2,621","3,240","1,816","3,001","3,372","3,487","3,021","3,426","4,746","4,235","1,721","3,168","3,000","3,930","2,414","3,586","4,058","3,527","2,531","2,974","3,747","3,549","2,736","3,970","4,333","4,171","2,661","5,047","5,148","4,403","2,670","3,261","4,127"
,"Apartment and other unit type","7,133","7,138","5,759","6,237","5,199","5,531","7,461","7,371","10,264","7,578","8,266","8,302","7,332","6,922","8,489","6,307","8,751","7,447","11,324","9,507","8,560","11,262","7,578","8,307","10,521","7,892","8,113","11,142","14,037","9,806","12,221","11,750","13,352","12,787","9,633","10,252","16,216","14,954","11,422","17,157","15,558"
"Housing under construction","Total units","93,600","94,117","92,827","94,582","96,521","96,112","79,695","81,343","87,385","91,625","90,278","96,428","98,140","100,199","98,974","100,898","104,860","107,048","106,829","106,701","106,311","109,011","108,420","110,671","115,874","118,576","116,951","120,858","126,826","131,493","132,762","136,919","145,712","148,064","147,504","153,536","164,580","171,425","..","..","0"
,"Single-detached","15,601","15,310","13,268","14,424","15,701","15,300","12,274","14,618","17,025","18,310","16,691","18,445","20,957","22,481","20,953","21,320","21,750","21,339","19,385","18,857","18,648","17,948","15,255","14,411","15,359","15,452","14,824","15,069","16,428","17,864","17,944","20,457","22,764","22,264","21,014","21,201","23,134","23,282","..","..","0"
,"Multiples","77,999","78,807","79,559","80,158","80,820","80,812","67,421","66,725","70,360","73,315","73,587","77,983","77,183","77,718","78,021","79,578","83,110","85,709","87,444","87,844","87,663","91,063","93,165","96,260","100,515","103,124","102,127","105,789","110,398","113,629","114,818","116,462","122,948","125,800","126,490","132,335","141,446","148,143","..","..","0"
,"Semi-detached","2,629","2,448","2,138","2,125","2,323","2,041","1,666","1,505","1,707","1,853","1,635","1,883","2,090","2,003","1,858","2,073","2,238","2,301","2,224","2,124","2,132","1,987","1,664","1,588","1,589","1,578","1,435","1,604","1,823","2,129","2,131","2,391","2,504","2,360","2,236","2,217","2,243","2,093","..","..","0"
,"Row","9,382","8,801","8,326","9,034","9,133","9,144","7,789","9,344","9,885","11,141","10,122","10,642","11,334","12,601","12,733","13,135","14,117","15,613","14,192","12,654","12,053","12,681","12,353","13,030","14,205","14,401","13,346","13,178","13,673","13,725","13,532","13,860","15,507","15,921","15,979","17,913","20,490","21,694","..","..","0"
